id,studentId,batchId,paid,isRead,createdAt
00e209e4-2dd6-4462-86ad-5896a387dad7,cmpxchii80002l60436va7k3y,cmpigctvg0000i60456sxp4gt,false,true,2026-06-03 00:45:24.848
0206c580-c196-4257-b172-b3d1b5397c5a,cmqj4t1rb0002l4046kt7w8c0,cmq4trtgc0000jv04zb4ys2rm,true,true,2026-06-18 06:41:21.959
04a4f035-6691-490c-a15f-c18e1c589ed2,cmrq9gv2y0008js0430sy9iii,cmqw8vwhi0000jp041gsg24q8,false,true,2026-07-18 11:05:57.082
04c2b8c8-6aeb-48c1-8a84-5d8415c81449,cmre9x31h0002kz04hmti1kbi,cmr4qaf4s0000lb04ubn1ktlo,false,true,2026-07-10 01:45:19.781
0505f2b8-acd9-4d40-b840-ac1b577a046f,cmsboqtq50002l804ytkww5lp,cms05m2qh0000l5045gmughkm,true,true,2026-08-02 10:56:45.59
054d81be-4dfd-4af0-8bbb-7288fa6e9a7e,cmri6a85s0002ld04ba8soukm,cmr4qaf4s0000lb04ubn1ktlo,true,true,2026-07-12 19:14:39.184
063c7c77-bda2-48d3-b4eb-08b65e7615c5,cmr1ys6ij0002jr04e7y8ukhx,cmqmenrlp0000jv04j1xly1hq,true,true,2026-07-01 11:00:21.115
0727dc14-630d-4815-94eb-af7f8eefb4c5,cmrfdwjy40002l104l2bpb49v,cmr4qaf4s0000lb04ubn1ktlo,true,true,2026-07-10 20:24:39.676
079932a9-15e3-4c80-9374-dfad1eae5b8f,cmrkgdkn10002jr04ytiln4ix,cmqs86s2h0000jr04ir8qdft8,true,true,2026-07-14 09:32:43.837
0af481c5-ad4c-4823-ae34-e0cbe40d78a9,cmrlwskti0002jl04tuweasao,cmrj4maoy0000jp04azdi1kbb,true,true,2026-07-15 10:00:03.942
0ca6545c-203d-44cf-bcc0-2be31e7ceab7,cmrytukw90002lb04ergtg9tq,cmrx1uju40000l90434dr22kr,false,true,2026-07-24 10:58:38.793
0eccb851-86d5-4408-9c4c-4132fc519d40,cmquivl9y0002l404xhel0nvr,cmqmenrlp0000jv04j1xly1hq,true,true,2026-06-26 06:00:43.126
0f23b4d9-b279-42bb-a722-6ea4186a536b,cmrf38dbe0002jr04jnkhgfh4,cmr4qaf4s0000lb04ubn1ktlo,true,true,2026-07-10 15:25:55.178
0f8d79ce-0df6-4dee-810c-3e57145c4406,cmsk8t96u0002l7046v1b7e8j,cmsfw0h6g0003l804o6nzmp6m,true,true,2026-08-08 10:40:40.902
104ea679-ffc3-4e25-9ea1-3ddca3ffb194,cmr0jo1410002l804u5q8xase,cmqmenrlp0000jv04j1xly1hq,true,true,2026-06-30 11:09:27.073
111e4c8b-c7bd-440e-9091-647f533a8cc6,cms2o0y640002l904aa77vn8d,cmrx1uju40000l90434dr22kr,false,true,2026-07-27 03:26:42.941
1327701d-3208-4ed5-9106-340c30010108,cmrantmiw0003jv04k7a583x3,cmqs86s2h0000jr04ir8qdft8,true,true,2026-07-07 13:03:28.329
13c0804a-0354-49ff-be76-b07576f0ad34,cmrz7romd0005jp04olnt8usy,cmrx1uju40000l90434dr22kr,false,true,2026-07-24 17:28:18.278
13c39571-2400-4909-9eab-f8335ceb9cd8,cmrqbkh2v0002js04tygmmmua,cmrj4maoy0000jp04azdi1kbb,false,true,2026-07-18 12:04:44.791
1475091f-0dc4-4fb9-b611-664a6e541b8c,cmsa8j25c0002id04p3jmavr4,cms05m2qh0000l5045gmughkm,true,true,2026-08-01 10:35:03.456
14a830f8-0811-4f60-919e-30f52ab8483b,cmqt97iww0005jo040nlemxax,cmqmenrlp0000jv04j1xly1hq,false,true,2026-06-25 08:42:17.6
1543c98f-35d5-4755-a6fa-68dbc1ec6e3e,cms6b3icq0004l904bzn7xl4s,cms05m2qh0000l5045gmughkm,false,true,2026-07-29 16:35:51.895
158206ea-c974-4608-8f16-d60ae009a651,cmpjuniyf0002ld047ie2wlkb,cmpigctvg0000i60456sxp4gt,false,true,2026-05-24 14:05:11.991
175b9e32-de0a-4467-9216-151d4d35506d,cmsdanala0002ii04odbbazbk,cms05m2qh0000l5045gmughkm,true,true,2026-08-03 13:57:38.782
17e7833c-633b-4aaa-b0fe-c36950b9e8c1,cmpim8hf20002i904cvtmh12i,cmpigctvg0000i60456sxp4gt,false,true,2026-05-23 17:21:47.054
1862c8fc-3e60-49d4-8b93-4d032bad9807,cmryj1y7v0002l104xreypub2,cmrx1uju40000l90434dr22kr,false,true,2026-07-24 05:56:26.875
192441f0-6e2a-4c66-a845-635bca959c36,cmpza2bhj0003l704shimnu36,cmpigctvg0000i60456sxp4gt,false,true,2026-06-04 09:13:09.032
192d7a85-d85d-45ce-a87f-a9f4d22cc9c9,cmpkw57f70002jf04wniwxsnv,cmpblfjl10000l204e2inoxr5,false,true,2026-05-25 07:39:15.728
19adebe6-f829-49c0-b323-7903c8ad6214,cmpwg0p6w0002le04zc9da25j,cmpigctvg0000i60456sxp4gt,false,true,2026-06-02 09:36:32.649
19d149d5-ca51-45e8-8498-86038b702b9a,cmsivwp150002ky04r8yy8dzk,cmsfw0h6g0003l804o6nzmp6m,false,true,2026-08-07 11:51:40.217
1a969d7c-610f-4a87-a880-e7b7c14373d9,cmr92i8n00002ib040bbing1x,cmqs86s2h0000jr04ir8qdft8,false,true,2026-07-06 10:18:59.004
1aa0f63f-85f3-4c74-b317-ffb00e4cc244,cmsanlg370002l104nnexfdvr,cmrx1uju40000l90434dr22kr,true,true,2026-08-01 17:36:49.075
1ae2b3d5-f14b-41af-894a-8abbe6b74fe0,cms6azlea0002jl04qlmypwax,cmrx1uju40000l90434dr22kr,false,true,2026-07-29 16:32:49.426
1d2083f0-5eae-42ea-b054-a40c2279878e,cmq133n4r0003kz04vvgsocu2,cmpigctvg0000i60456sxp4gt,false,true,2026-06-05 15:33:45.819
21cc6481-7917-4015-bfee-c31c36eadf94,cms6e420j0002jt04ry8p6jyz,cmrx1uju40000l90434dr22kr,true,true,2026-07-29 18:00:16.435
224e9650-0957-465c-8976-9ec857bb7b28,cmq1asmiy0002ib049yzunfyw,cmpigctvg0000i60456sxp4gt,false,true,2026-06-05 19:09:08.746
22b36947-4d01-484b-a99d-910d0df2074b,cmqz3yb0t0003l104rdo0h15u,cmqmenrlp0000jv04j1xly1hq,true,true,2026-06-29 11:01:46.445
23895161-edd5-42f5-9492-22c92279705a,cmpe61mur0005kz04b03uoewv,cmpcajvdb0000l504o20iut2j,false,true,2026-05-21 14:47:54.845
25c07131-8568-4bd2-8aaf-4a4a2832575b,cms9bf7dn0002lf04k32zw8x6,cmrx1uju40000l90434dr22kr,false,true,2026-07-31 19:08:16.283
260248e0-2564-48c6-9d70-d9e71049d3f2,cmr0oasds0002l204iqgj0z8h,cmqmenrlp0000jv04j1xly1hq,true,true,2026-06-30 13:19:07.313
261be8ed-dd2e-4d21-822d-a069f6d6278c,cmria79ig0002jo04su0i3l0w,cmr4qaf4s0000lb04ubn1ktlo,true,true,2026-07-12 21:04:19.432
2686331f-b52f-442a-83c2-32f3b2592c64,cmpduu2360004jj04lo8x7h59,cmpblfjl10000l204e2inoxr5,true,true,2026-05-20 09:23:39.666
26eb4a54-4120-4ea3-8c9e-e47b2e17015c,cmr98xlej0002ky04zxwy6j4v,cmr4qaf4s0000lb04ubn1ktlo,false,true,2026-07-06 13:18:53.083
27911729-5f75-45c1-966a-42728633e79a,cmrnd5w6v0002jo04qvuy3c6g,cmrj4maoy0000jp04azdi1kbb,true,true,2026-07-16 10:26:05.24
282b2a7b-ad58-4ee6-80cb-aec842aa201a,cms8ya9d00002l704fw9hx2tk,cms05rk2r0000la04eucpumzy,true,true,2026-07-31 13:00:30.564
293db594-84ea-4f94-aa43-6b6a694da07d,cmrlq0q020002js04vnwahqa1,cmrj4maoy0000jp04azdi1kbb,false,true,2026-07-15 06:50:26.594
2b1b3584-db5d-4a21-a1a4-bbea29a27261,cmrtiarft0002jr0421nl252o,cmrj4maoy0000jp04azdi1kbb,true,true,2026-07-20 17:36:27.497
2bb1835e-c3f4-47f7-9f68-d7065de528d7,cms8kw8ho0002la04wj0n9vng,cmrx1uju40000l90434dr22kr,true,true,2026-07-31 06:45:41.244
