id,batchId,link,title,note,attachments,sentAt
cmsd1j5g00001k304e4dlqsnt,cmrx1uju40000l90434dr22kr,https://zoom.us/j/96582630653?pwd=47VQ2x8jBvxaRgCJDsXu4QaV4ntRpY.1,1st lecture,,[],2026-08-03 09:42:28.756
cmsdbta880001jj04qugndp0o,cms05m2qh0000l5045gmughkm,https://zoom.us/j/94218536238?pwd=vOHYjsXFQk6vTkPvPa1gNH9k3P26yy.1,1,,[],2026-08-03 14:30:17.865
cmsehhyd00001l904qfhtt1og,cmrx1uju40000l90434dr22kr,https://zoom.us/j/94238775489?pwd=Ooywhzvag91372rr8kbRtPsaUKAdVO.1,2,,[],2026-08-04 09:57:12.936
cmser3fci0001l704y1phuvnl,cms05m2qh0000l5045gmughkm,https://zoom.us/j/95675802076?pwd=eIExca8pXfb0EqyIpAbmVe8v4Nd3sa.1,2,,[],2026-08-04 14:25:51.475
cmsg6friu0001l2040ls6wjmb,cms05m2qh0000l5045gmughkm,https://zoom.us/j/94429955737?pwd=r0i35dFazUAVozXZY0mn1Qc2hNFHMh.1,3,,[],2026-08-05 14:23:07.353
cmshbz8z90001l704eso10atu,cmrx1uju40000l90434dr22kr,https://zoom.us/j/99793026985?pwd=Y4GtDTZHnaGIC9aiVH1evRba4WRWJf.1,3,,[],2026-08-06 09:46:00.885
cmsisdhms0001jr04lkbcb19j,cmrx1uju40000l90434dr22kr,https://zoom.us/j/96331617484?pwd=QoYKINLKpH39AqatKrkvjPz9JpbFtk.1,4,,[],2026-08-07 10:12:45.129
cmsj1exs10001jg0408pijks5,cms05m2qh0000l5045gmughkm,https://zoom.us/j/96303559670?pwd=l4SdmcZSN6pSxQorZnv0R5TaaEsHAF.1,4,,[],2026-08-07 14:25:49.442
cmsn2ermi0001jl04g2h9jlhp,cmrx1uju40000l90434dr22kr,https://zoom.us/j/93159400445?pwd=7IFmQvJaYbSZMpimHtUHzxeUTNG15A.1,lecture 05,,[],2026-08-10 10:04:45.6
cmsnc000u0001js045p519sja,cms05m2qh0000l5045gmughkm,https://zoom.us/j/96810765887?pwd=oQYqgMOuS9fmTpFNtOXwapadPJSSPr.1,lecture 05,,[],2026-08-10 14:33:12.789
cmsohhqzi0001ic04wrwmxhew,cmrx1uju40000l90434dr22kr,https://zoom.us/j/92957125736?pwd=WtbcXJw7r1gagBBfVnupTvtI9mcmeB.1,6,,[],2026-08-11 09:54:45.157
cmsor5xkv0001kv04d7ktlxlh,cms05m2qh0000l5045gmughkm,https://zoom.us/j/99889547843?pwd=ExdGS2wK1aSH5Oo0WkgGPR5HmvqATD.1,lecture 06,,[],2026-08-11 14:25:29.974
cmspx5q770001l4042fq494ys,cmrx1uju40000l90434dr22kr,https://zoom.us/j/93455102752?pwd=7yCmYs5dRStKCdmRXsusMLcCBoQfbB.1,lecture 07,,[],2026-08-12 10:01:04.28
cmsq6dprc0001jy04aj95uwso,cms05m2qh0000l5045gmughkm,https://zoom.us/j/95150840389?pwd=1mRIIOOmQYDzosVfKd4MEvLbPo1aTs.1,lecture 07,,[],2026-08-12 14:19:13.704
